,1Wc1,1KWc1,MWEc1,CPMc1,CWHc1,YWMc1,YWKc1,MWBWX,BL2c1,AGRc1,WEAc1,NWTc1,LWBc1
2020-10-29,238.88699330334526,238.88699330334526,238.88699330334526,238.71560222376112,238.88699330334526,238.88699330334526,238.88699330334526,238.71560222376112,238.71560222376112,238.71560222376112,238.71560222376112,238.23048830961372,238.71560222376112
2020-10-30,239.0282019856324,239.0282019856324,239.0282019856324,238.88699330334526,239.0282019856324,239.0282019856324,239.0282019856324,238.88699330334526,238.88699330334526,238.88699330334526,238.88699330334526,238.3230842851737,238.88699330334526
2020-10-31,239.3432092914547,239.3432092914547,239.3432092914547,239.0282019856324,239.3432092914547,239.3432092914547,239.3432092914547,239.0282019856324,239.0282019856324,239.0282019856324,239.0282019856324,238.49424116817528,239.0282019856324
2020-11-01,239.3885600126403,239.3885600126403,239.3885600126403,239.3432092914547,239.3885600126403,239.3885600126403,239.3885600126403,239.3432092914547,239.3432092914547,239.3432092914547,239.3432092914547,238.71560222376112,239.3432092914547
2020-11-02,239.48532830108206,239.48532830108206,239.48532830108206,239.3885600126403,239.48532830108206,239.48532830108206,239.48532830108206,239.3885600126403,239.3885600126403,239.3885600126403,239.3885600126403,238.88699330334526,239.3885600126403
2020-11-03,239.66872593612882,239.66872593612882,239.66872593612882,239.48532830108206,239.66872593612882,239.66872593612882,239.66872593612882,239.48532830108206,239.48532830108206,239.48532830108206,239.48532830108206,239.0282019856324,239.48532830108206
2020-11-04,239.91073402528087,239.91073402528087,239.91073402528087,239.66872593612882,239.91073402528087,239.91073402528087,239.91073402528087,239.66872593612882,239.66872593612882,239.66872593612882,239.66872593612882,239.3432092914547,239.66872593612882
2020-11-05,240.11134758874,240.11134758874,240.11134758874,239.91073402528087,240.11134758874,240.11134758874,240.11134758874,239.91073402528087,239.91073402528087,239.91073402528087,239.91073402528087,239.3885600126403,239.91073402528087
2020-11-06,240.29034028500777,240.29034028500777,240.29034028500777,240.11134758874,240.29034028500777,240.29034028500777,240.29034028500777,240.11134758874,240.11134758874,240.11134758874,240.11134758874,239.48532830108206,240.11134758874
2020-11-07,240.65148611884797,240.65148611884797,240.65148611884797,240.29034028500777,240.65148611884797,240.65148611884797,240.65148611884797,240.29034028500777,240.29034028500777,240.29034028500777,240.29034028500777,239.66872593612882,240.29034028500777
2020-11-08,240.75092455113585,240.75092455113585,240.75092455113585,240.65148611884797,240.75092455113585,240.75092455113585,240.75092455113585,240.65148611884797,240.65148611884797,240.65148611884797,240.65148611884797,239.91073402528087,240.65148611884797
2020-11-09,240.90912591263123,240.90912591263123,240.90912591263123,240.75092455113585,240.90912591263123,240.90912591263123,240.90912591263123,240.75092455113585,240.75092455113585,240.75092455113585,240.75092455113585,240.11134758874,240.75092455113585
2020-11-10,241.16050466365468,241.16050466365468,241.16050466365468,240.90912591263123,241.16050466365468,241.16050466365468,241.16050466365468,240.90912591263123,240.90912591263123,240.90912591263123,240.90912591263123,240.29034028500777,240.90912591263123
2020-11-11,241.4760612418426,241.4760612418426,241.4760612418426,241.16050466365468,241.4760612418426,241.4760612418426,241.4760612418426,241.16050466365468,241.16050466365468,241.16050466365468,241.16050466365468,240.65148611884797,241.16050466365468
2020-11-12,241.75464179776543,241.75464179776543,241.75464179776543,241.4760612418426,241.75464179776543,241.75464179776543,241.75464179776543,241.4760612418426,241.4760612418426,241.4760612418426,241.4760612418426,240.75092455113585,241.4760612418426
2020-11-13,242.01472278979395,242.01472278979395,242.01472278979395,241.75464179776543,242.01472278979395,242.01472278979395,242.01472278979395,241.75464179776543,241.75464179776543,241.75464179776543,241.75464179776543,240.90912591263123,241.75464179776543
2020-11-14,242.45865686485885,242.45865686485885,242.45865686485885,242.01472278979395,242.45865686485885,242.45865686485885,242.45865686485885,242.01472278979395,242.01472278979395,242.01472278979395,242.01472278979395,241.16050466365468,242.01472278979395
2020-11-15,242.64106591121825,242.64106591121825,242.64106591121825,242.45865686485885,242.64106591121825,242.64106591121825,242.64106591121825,242.45865686485885,242.45865686485885,242.45865686485885,242.45865686485885,241.4760612418426,242.45865686485885
2020-11-16,242.88083754624378,242.88083754624378,242.88083754624378,242.64106591121825,242.88083754624378,242.88083754624378,242.88083754624378,242.64106591121825,242.64106591121825,242.64106591121825,242.64106591121825,241.75464179776543,242.64106591121825
2020-11-17,243.21077185278392,243.21077185278392,243.21077185278392,242.88083754624378,243.21077185278392,243.21077185278392,243.21077185278392,242.88083754624378,242.88083754624378,242.88083754624378,242.88083754624378,242.01472278979395,242.88083754624378
2020-11-18,243.60025830710148,243.60025830710148,243.60025830710148,243.21077185278392,243.60025830710148,243.60025830710148,243.60025830710148,243.21077185278392,243.21077185278392,243.21077185278392,243.21077185278392,242.45865686485885,243.21077185278392
2020-11-19,243.94657134882854,243.94657134882854,243.94657134882854,243.60025830710148,243.94657134882854,243.94657134882854,243.94657134882854,243.60025830710148,243.60025830710148,243.60025830710148,243.60025830710148,242.64106591121825,243.60025830710148
2020-11-20,244.26669068690273,244.26669068690273,244.26669068690273,243.94657134882854,244.26669068690273,244.26669068690273,244.26669068690273,243.94657134882854,243.94657134882854,243.94657134882854,243.94657134882854,242.88083754624378,243.94657134882854
2020-11-21,244.7615818854265,244.7615818854265,244.7615818854265,244.26669068690273,244.7615818854265,244.7615818854265,244.7615818854265,244.26669068690273,244.26669068690273,244.26669068690273,244.26669068690273,243.21077185278392,244.26669068690273
2020-11-22,244.9846222506176,244.9846222506176,244.9846222506176,244.7615818854265,244.9846222506176,244.9846222506176,244.9846222506176,244.7615818854265,244.7615818854265,244.7615818854265,244.7615818854265,243.60025830710148,244.7615818854265
2020-11-23,245.25362745724954,245.25362745724954,245.25362745724954,244.9846222506176,245.25362745724954,245.25362745724954,245.25362745724954,244.9846222506176,244.9846222506176,244.9846222506176,244.9846222506176,243.94657134882854,244.9846222506176
2020-11-24,245.6005249653866,245.6005249653866,245.6005249653866,245.25362745724954,245.6005249653866,245.6005249653866,245.6005249653866,245.25362745724954,245.25362745724954,245.25362745724954,245.25362745724954,244.26669068690273,245.25362745724954
2020-11-25,245.99405348931322,245.99405348931322,245.99405348931322,245.6005249653866,245.99405348931322,245.99405348931322,245.99405348931322,245.6005249653866,245.6005249653866,245.6005249653866,245.6005249653866,244.7615818854265,245.6005249653866
