,2HRW-USG-A1,2SRW-USG-A1,JCI-WHT-SHHAI,JCI-WHT-GZHOU,BRSB-APW1-CY1,ALBN-AGP1-CY1,ALBN-ASW1-CY1,ALBN-AUH2-CY1,W-FOBROUEN-P1,W-RENLPL-P1,W-FOBBLTNC-E14,W-NGP-308,KTS-W11UABS-FOB,KTS-W12UABS-FOB,KTS-W11RUBS-FOB,KTS-W12RUBS-FOB
2020-11-01,264.45660673809635,264.7217524481056,379.3415387115112,386.3239716733929,174.31300090210692,194.0569996147721,199.84069617730455,199.21623051481694,234.19979930236642,233.20873043917965,255.91834328228563,390.87847067433273,252.91472551654792,246.15620848680808,244.0153823021304,239.74016404584557
2020-11-02,264.58050877563784,265.22481071117045,379.58525328560245,386.5626920144918,174.18547588384965,194.20378861439625,199.79804179911002,199.33273279340162,234.6924933788404,233.66293864915116,254.67043827561153,391.104453637175,253.2853156661143,246.33220752704247,244.28587523847878,239.81258775683028
2020-11-03,264.38886982111967,264.8624668662187,379.7929183704625,386.82760808130683,174.07712434827366,194.04060005714646,199.56630947785024,199.12108715880078,234.60456570064707,233.5296297642813,256.56223874019594,391.1178307116888,254.2709030592736,247.1146759120465,244.7745089802782,240.28777713650157
2020-11-04,264.72214292251897,265.38634743594815,380.01525129123854,387.08069841015254,173.78816829913256,193.39990679167434,199.05821514176677,198.56698896192526,234.30397813871772,233.52129103232753,256.1608844265774,391.7266420690259,254.36933095531006,247.12796489027608,244.64632026261407,240.218441608863
2020-11-05,265.4445257082635,265.95582010602214,380.4299777984876,387.5216218432321,171.66076433990287,193.2238817168469,198.82733273374794,198.35665060562752,234.89658227480396,233.99909206357407,256.98216814201896,392.2285387936498,255.00800960489588,247.64842328529957,245.27323659326026,240.68501231752114
2020-11-06,265.6000752621268,266.4617870981203,380.6745244481074,387.7610822457251,171.54393299512927,193.3651067468626,198.80067734479667,198.47265021420083,235.39040642453074,234.45477420029624,255.73232614915304,392.4553058563635,255.38149285064455,247.82519040280644,245.5546681230407,240.75794063846263
2020-11-07,265.434583084751,266.09806342806195,380.88304032985894,388.0268195837935,171.43393108861565,193.19656667001746,198.51618520960798,198.26191780828012,235.30191806870337,234.32101708989117,257.6249858126689,392.4687341269296,256.3758740575688,248.61341291942304,246.05838661797233,241.235145366132
2020-11-08,265.7891750870522,266.62407658503196,381.10597360245174,388.2806945227011,171.14825265616892,192.5690106538109,198.1196145168469,197.7102104454073,234.99906758642425,234.31260991690573,257.22161194286264,393.0796466086454,256.47601072297476,248.62756045731942,245.93211923340976,241.1656951167318
2020-11-09,266.41715042227116,267.1923313763085,381.5217517806996,388.72298487076193,169.0704902660211,192.39115756215566,197.87102522067858,197.50077966819262,235.5957131283983,234.7920882363143,258.045641459001,393.58328406513846,257.12007010190405,249.15132967540123,246.56224118526953,241.63413205648735
2020-11-10,266.54556839195664,267.7003344213531,381.7669277951529,388.96318762892724,168.96661504452985,192.53315883016515,197.87420372933727,197.61627876591245,236.09042560008012,235.24934390437804,256.8016501026715,393.8108344078669,257.49673281402954,249.32935130974212,246.83835257865584,241.7072345222465
2020-11-11,266.3555775267854,267.3343417444975,381.9759029937248,389.2297487842873,168.85006041381553,192.36844605709166,197.59118744138854,197.40645563585116,236.00257643241622,235.1151465672794,258.6903742172567,393.824307062961,258.4990349369323,250.12174252981205,247.3343836032584,242.18624727687384
2020-11-12,266.6937175099259,267.8630456651004,382.19949655468724,389.48441076564114,168.56019485080347,191.74529341625527,197.20409533909228,196.85712878683432,235.6989790956221,235.1067504978159,258.2832827345978,394.43733326208815,258.59955861922265,250.13550270773112,247.2077655037398,242.11644110066283
2020-11-13,267.41031845573593,268.4368070166347,382.6165434015481,389.92807226628196,166.52175376613388,191.56998113175626,196.9655096052385,196.64860166642825,236.29725774354912,235.58780288156316,259.11828012684583,394.94270985109455,259.24890550081966,250.66235578190643,247.84501175013756,242.58671109106012
2020-11-14,267.5638208328156,268.9474213026345,382.8624624821274,390.1690196815103,166.42146076294668,191.71319116209744,197.0103348404945,196.76360240943274,236.79339913346544,236.0465927623243,257.8740355355789,395.1710454217679,259.6286441828451,250.84134650300362,248.1295212267916,242.66016045856935
2020-11-15,267.3943486684044,268.5798761664198,383.0721132267748,390.4364072080935,166.3036396362052,191.54646315048478,196.70488356076416,196.55468462707543,236.7057011876597,235.91193453292365,259.7670651727958,395.18456359769755,260.6394006833477,251.63891727431317,248.63782300671048,243.14109978538158
2020-11-16,267.74948164156933,269.11096289451314,383.29633721130995,390.6918586718185,166.01389569875755,190.92792069184992,196.31781192023067,196.00772801930188,236.40185627288892,235.9034987550202,259.3571808661735,395.7997078175677,260.74097549765605,251.6530487348039,248.51096521418393,243.07106088680982
2020-11-17,268.3920919055132,269.68597338068855,383.7145396268412,391.1368955757751,164.00223660428915,190.7520300931992,196.0721145472668,195.80010065413046,237.00087191977318,236.38619680725094,260.20059144008354,396.3068284099359,261.39572182954225,252.18315464003743,249.14764390545818,243.5431921365495
2020-11-18,268.5243146124058,270.19881031189476,383.96114285937256,391.3785899565917,163.89913326189352,190.89264313490784,196.1397116403106,195.9146051915147,237.49866580921014,236.84654890567597,258.94866215395825,396.5359523170206,261.7786261796985,252.36329856692177,249.42745414442982,243.61690071410507
2020-11-19,268.3353790096659,269.82945504815655,384.17135383992434,391.64680641624693,163.78541379247213,190.7261421085583,195.8507705894284,195.70658884977274,237.41050455772415,236.71143430897374,260.85328819363633,396.5495167404776,262.7976755931818,253.16548084777844,249.93037026455178,244.09971654224543
2020-11-20,268.6778503561484,270.3630880114974,384.3962273841533,391.9030498098323,163.50182493787543,190.11048777974514,195.42032387176906,195.1619922551969,237.10589055136742,236.70297237335345,260.4420663093331,397.16678580245724,262.89998327123885,253.17952297329836,249.80143716491472,244.02937950985788
2020-11-21,269.3908567513406,270.94175919665133,384.81565237439514,392.34946638101815,161.5145055704222,189.93544157862752,195.18506879501453,194.95526076254063,237.70643245099458,237.18730224710538,261.28817460860404,397.6756573070797,263.56014004023615,253.71281004239256,250.44278327968598,244.50336849762098
2020-11-22,269.5429583325965,271.4570724212585,385.0629750272014,392.59191004310503,161.4095451815657,190.07705620867304,195.267981601818,195.06927123497374,238.20581111688998,237.64921128042442,260.02707916146545,397.90557257398024,263.94620449630514,253.89400575686565,250.72859005326876,244.5773834021632
2020-11-23,269.37003954174054,271.08612433615605,385.273811818553,392.86095800562316,161.30032999617862,189.91053248211074,194.98501738621326,194.86215244402626,238.1171492743878,237.51363832283158,261.94363554272155,397.9191839655384,264.9737300073284,254.70119214131077,251.2404251827309,245.06211297682972
2020-11-24,269.7261869358707,271.6221832939255,385.499327333402,393.11799578414536,161.02411223130756,189.29879991160632,194.52685010265097,194.31990567941898,237.81144033508136,237.50514462185055,261.53145990635664,398.5385847900712,265.07693838043866,254.7154259282169,251.11147782806228,244.99151001566702
2020-11-25,270.3814678006497,272.20284993761675,385.91994365947505,393.5657962996927,159.0654320161131,189.12429206396345,194.29113935841076,194.11406619360298,238.414060620657,237.99112000861504,262.3781730572574,399.04921390222245,265.74256707126136,255.2519690520915,251.75500208236346,245.46736968649566
2020-11-26,270.5169226507089,272.7205003964225,386.16796962685396,393.80899156591073,158.96226024542403,189.26611093543173,194.3581489083331,194.22758473276497,238.91487948401272,238.4545959723359,261.11070462592085,399.27992334146177,266.1318335206026,255.4342888766705,252.03852843860187,245.54166826813142
2020-11-27,270.3285297298655,272.34777286739535,386.37939912636716,394.07887360904937,158.855126774414,189.10121271761196,194.0938799565114,194.02135961972922,238.82595168162,238.31856428465392,263.0357938158597,399.29358183430935,267.1678486609141,256.2462879424896,252.54761851254707,246.02830368653804
2020-11-28,270.67497598444464,272.8863525857668,386.60556361136685,394.336708235196,158.5839535680091,188.49058690099642,193.6104940593857,193.4814525459726,238.51920484330034,238.31004353481762,262.62216874755933,399.9151219746022,267.27188515833393,256.2605433091749,252.4178486197093,245.95741647122347
2020-11-29,271.38625346760136,273.47010508046304,387.027393648977,394.7858969854966,156.65711158863348,188.31721098676854,193.38084321629398,193.2765012180939,239.12383469796137,238.79766361347862,263.4710745433815,400.4275148986126,267.94302282701165,256.8003284253664,253.06663501313412,246.43515129142608
2020-11-30,271.53748363806045,273.9902043782595,387.27613486227165,395.02984618590784,156.5572813899595,188.45822916686464,193.43103299740102,193.38952994654372,239.6260898197826,239.26270949226415,262.19960848361745,400.6590212285848,268.3355100063228,256.9837390701479,253.35513689343458,246.50974701671558
2020-12-01,271.36156097339193,273.6157706322189,387.4881778103257,395.3005648954159,156.4506530951605,188.29364550656817,193.1678874881964,193.1841946553414,239.53699347578717,239.1262166277642,264.1310753040529,400.6727269370226,269.38011310246077,257.8007149075018,253.87163658954424,246.9983037884137
